spp,region,n()
Carcharhinus acronotus,Southeast US Spring,2562
Carcharhinus acronotus,Southeast US Summer,2807
Carcharhinus plumbeus,Northeast US Fall,12884
Careproctus melanurus,Aleutian Islands,5474
Careproctus melanurus,Gulf of Alaska,10160
Careproctus melanurus,West Coast Annual,4584
Careproctus melanurus,West Coast Triennial,3535
Careproctus rastrinus,Aleutian Islands,5474
Careproctus spp.,Aleutian Islands,5474
Caretta caretta,Gulf of Mexico,3089
Caretta caretta,Southeast US Fall,2681
Caretta caretta,Southeast US Spring,2562
Caretta caretta,Southeast US Summer,2807
Caulolatilus intermedius,Gulf of Mexico,3089
Centropristis ocyurus,Gulf of Mexico,3089
Centropristis philadelphica,Gulf of Mexico,3089
Centropristis philadelphica,Southeast US Fall,2681
Centropristis philadelphica,Southeast US Summer,2807
Centropristis striata,Gulf of Mexico,3089
Centropristis striata,Northeast US Fall,12884
Centropristis striata,Northeast US Spring,12479
Centropristis striata,Southeast US Fall,2681
Centropristis striata,Southeast US Spring,2562
Centropristis striata,Southeast US Summer,2807
Ceramaster,West Coast Annual,4584
Ceramaster japonicus,Aleutian Islands,5474
Ceramaster japonicus,Eastern Bering Sea,13071
Ceramaster patagonicus,Aleutian Islands,5474
Ceramaster patagonicus,Gulf of Alaska,10160
Ceramaster spp.,Aleutian Islands,5474
Ceramaster spp.,Gulf of Alaska,10160
Chaetodipterus faber,Gulf of Mexico,3089
Chaetodipterus faber,Southeast US Fall,2681
Chaetodipterus faber,Southeast US Spring,2562
Chaetodipterus faber,Southeast US Summer,2807
Chaetodon ocellatus,Gulf of Mexico,3089
Chaetodon sedentarius,Gulf of Mexico,3089
Chauliodontinae spp.,Gulf of Alaska,10160
Chauliodus macouni,Aleutian Islands,5474
Chauliodus macouni,Gulf of Alaska,10160
Cheiraster dawsoni,Aleutian Islands,5474
Cheiraster dawsoni,Gulf of Alaska,10160
Cheiraster dawsoni,West Coast Annual,4584
Chesnonia verrucosa,West Coast Annual,4584
Chilara taylori,West Coast Annual,4584
Chilara taylori,West Coast Triennial,3535
Chilomycterus schoepfii,Gulf of Mexico,3089
Chilomycterus schoepfii,Southeast US Fall,2681
Chilomycterus schoepfii,Southeast US Spring,2562
Chilomycterus schoepfii,Southeast US Summer,2807
Chione clenchii,Gulf of Mexico,3089
Chionoecetes bairdi,Aleutian Islands,5474
Chionoecetes bairdi,Eastern Bering Sea,13071
Chionoecetes bairdi,Gulf of Alaska,10160
Chionoecetes bairdi,West Coast Annual,4584
Chionoecetes opilio,Eastern Bering Sea,13071
Chionoecetes spp.,Eastern Bering Sea,13071
Chionoecetes tanneri,West Coast Annual,4584
Chirona evermanni,Aleutian Islands,5474
Chirona evermanni,Eastern Bering Sea,13071
Chirona evermanni,Gulf of Alaska,10160
Chitonotus pugetensis,West Coast Annual,4584
Chlamys rubida,Gulf of Alaska,10160
Chlamys spp.,Aleutian Islands,5474
Chlamys spp.,Eastern Bering Sea,13071
Chlamys spp.,Gulf of Alaska,10160
Chloroscombrus chrysurus,Gulf of Mexico,3089
Chloroscombrus chrysurus,Southeast US Fall,2681
Chloroscombrus chrysurus,Southeast US Spring,2562
Chloroscombrus chrysurus,Southeast US Summer,2807
Chorilia longipes,Aleutian Islands,5474
Chorilia longipes,Gulf of Alaska,10160
Chorilia longipes,West Coast Annual,4584
Chromis enchrysura,Gulf of Mexico,3089
Chrysaora,West Coast Annual,4584
Chrysaora fuscens,West Coast Annual,4584
Chrysaora quinquecirrha,Gulf of Mexico,3089
Ciliatoclinocardium ciliatum,Eastern Bering Sea,13071
Citharichthys arctifrons,Northeast US Fall,12884
Citharichthys arctifrons,Northeast US Spring,12479
Citharichthys cornutus,Gulf of Mexico,3089
Citharichthys macrops,Gulf of Mexico,3089
Citharichthys macrops,Southeast US Fall,2681
Citharichthys macrops,Southeast US Spring,2562
Citharichthys macrops,Southeast US Summer,2807
Citharichthys sordidus,West Coast Annual,4584
Citharichthys sordidus,West Coast Triennial,3535
Citharichthys spilopterus,Gulf of Mexico,3089
Citharichthys spilopterus,Southeast US Fall,2681
Citharichthys spilopterus,Southeast US Summer,2807
Cladaster validus,Aleutian Islands,5474
Clinocardium spp.,Eastern Bering Sea,13071
Clinopegma magnum,Eastern Bering Sea,13071
Clupea harengus,Northeast US Fall,12884
Clupea harengus,Northeast US Spring,12479
Clupea harengus,Scotian Shelf,8737
Clupea pallasii,Eastern Bering Sea,13071
Clupea pallasii,Gulf of Alaska,10160
Clupea pallasii,West Coast Annual,4584
Clupea pallasii,West Coast Triennial,3535
Clypeaster,Gulf of Mexico,3089
Collodes robustus,Gulf of Mexico,3089
Colus halli,Eastern Bering Sea,13071
Colus herendeenii,Eastern Bering Sea,13071
Colus spp.,Eastern Bering Sea,13071
Conger oceanicus,Northeast US Fall,12884
Conger oceanicus,Northeast US Spring,12479
Conus,Gulf of Mexico,3089
Corallimorphus,West Coast Annual,4584
Coryphaenoides pectoralis,Aleutian Islands,5474
Coryphaenoides pectoralis,Gulf of Alaska,10160
Cottidae spp.,West Coast Triennial,3535
Crangon,West Coast Annual,4584
Crangon communis,Gulf of Alaska,10160
Crangon communis,West Coast Annual,4584
Crangon dalli,Eastern Bering Sea,13071
Crangon dalli,Gulf of Alaska,10160
Crangon spp.,Eastern Bering Sea,13071
Crangon spp.,Gulf of Alaska,10160
Crossaster borealis,Gulf of Alaska,10160
Crossaster borealis,West Coast Annual,4584
Crossaster papposus,Aleutian Islands,5474
Crossaster papposus,Eastern Bering Sea,13071
Crossaster papposus,Gulf of Alaska,10160
Crossaster papposus,West Coast Annual,4584
Crossaster spp.,Gulf of Alaska,10160
Crustacea shrimp,Northeast US Fall,12884
Crustacea shrimp,Northeast US Spring,12479
Cryptacanthodes giganteus,Gulf of Alaska,10160
Cryptacanthodes giganteus,West Coast Triennial,3535
Cryptacanthodes maculatus,Northeast US Fall,12884
Cryptacanthodes maculatus,Northeast US Spring,12479
Cryptonatica russa,Eastern Bering Sea,13071
Cryptotomus roseus,Gulf of Mexico,3089
Crystallichthys cyclospilus,Aleutian Islands,5474
Ctenodiscus crispatus,Aleutian Islands,5474
Ctenodiscus crispatus,Eastern Bering Sea,13071
Ctenodiscus crispatus,Gulf of Alaska,10160
Ctenodiscus crispatus,West Coast Annual,4584
